CUST_ID,SITE_ID
301911957,MLM
149373541,MLM
142165168,MLM
1086222319,MLA
539748321,MLM
662686210,MLB
94325565,MLM
15309622,MLM
132699105,MLM
244302776,MLB
580132890,MLB
589265334,MLA
1074223186,MLM
678143479,MLB
673595966,MLB
174578153,MCO
382992375,MLA
663022476,MLM
479898352,MLC
543409610,MLB
540887655,MLB
382825910,MLM
1043327711,MLM
54688187,MLM
54496979,MLM
57381820,MLC
47298263,MLM
41306139,MLM
350109056,MLB
350462376,MLB
250752838,MLB
308190230,MLB
593735014,MLB
592188146,MLB
231269491,MLA
832399800,MLB
651552034,MLB
276700360,MLM
655950950,MLM
569676130,MLM
20925373,MLA
1038246742,MLB
1126660411,MLB
261456634,MLM
263030173,MLM
252406637,MLA
776308300,MLM
774540156,MLM
770780669,MLB
101297006,MLM
107689719,MLB
106733414,MLB
221113126,MLA
644940614,MLM
374792942,MLM
379249206,MLB
355930683,MLB
297194618,MLB
405230707,MLM
1239881053,MLM
450715403,MLM
451084762,MLM
85042745,MLA
226075799,MLM
178333257,MLB
178395215,MLB
224479098,MLB
223687196,MLB
209729431,MLB
207453038,MLB
296952620,MLM
614327109,MLB
482120050,MLC
485644881,MLB
87753744,MLM
1097442747,MLB
1093035163,MLB
266605502,MLM
150456879,MLB
125493402,MLM
587682152,MLB
589301682,MLB
60968821,MLB
1024235833,MLB
149515316,MLB
24705479,MLB
321267483,MLB
70875465,MLB
234031169,MLB
59769686,MLB
213424893,MLM
218002354,MLB
512723279,MLB
199285362,MLM
539194639,MLB
73103597,MLM
76712625,MLM
76337987,MLM
79667814,MLB
232711050,MLM
232400219,MLM
169418168,MLM
168724116,MLM
166494691,MLM
172071333,MLM
47261717,MLB
720905162,MLM
671552438,MLB
391519350,MLC
395150352,MLB
403857711,MLB
1159736949,MLM
709280707,MLM
701703945,MLM
280816233,MLC
574127248,MLM
577931498,MLB
116085913,MLB
113973339,MLB
111728352,MLB
69076235,MLB
92983690,MLB
93656553,MLB
256632302,MLM
252090876,MLM
250498246,MLM
182214685,MLM
187653329,MLB
70816,MLM
261613972,MLB
1065842739,MLM
806677631,MLB
547782853,MLM
540154410,MLM
546134558,MLB
686634714,MLB
330905664,MLM
810836244,MLB
246628991,MLM
520589167,MLM
769292057,MLM
769558049,MLM
767313436,MLB
763075463,MLB
762401622,MLB
758855867,MLA
38207824,MLM
601644076,MLM
600760226,MLM
312823589,MLM
319900692,MLB
161883037,MLB
694453510,MLM
1169630607,MLM
146056203,MLM
372693135,MLB
1087557516,MLM
1081682332,MLM
535004235,MLM
94495160,MLM
241613784,MLB
19499331,MLM
1051453451,MLB
133618557,MLM
249915855,MLB
1073445201,MLM
1073883961,MLB
664726401,MLM
665983789,MLC
1174476983,MLM
1171764845,MLM
478164841,MLM
429777030,MLB
427704634,MLB
546582993,MCO
718890250,MLM
710694763,MLM
91347847,MCO
97397291,MCO
742086233,MLB
252144446,MLB
307326358,MLB
411056093,MLM
391419317,MLM
270655447,MLA
277321977,MLM
74956801,MLA
658376276,MLM
651135041,MLM
364376390,MLM
132705570,MLB
567440037,MLM
565649380,MLM
1125828372,MLM
1128282575,MLB
1125212332,MLB
269961502,MLC
269922690,MLB
267827370,MLB
798409652,MLM
796349250,MLB
795346689,MLB
773715816,MLM
777110826,MLB
777114085,MLB
107567356,MLM
220391733,MLB
221933894,MLA
435511038,MLM
299045854,MLB
610359639,MLB
565479946,MLB
493160091,MLA
182756088,MLB
417988396,MLB
452786468,MLM
454987349,MLM
80502483,MLB
80111811,MLB
177258923,MLB
174045215,MLB
